motor_id,timestamp,temperature,vibration,current,rpm,operating_hours
M005,2026-09-18 10:00,84.0,4.2,12.7,1775,3200.0
M005,2026-09-18 10:05,85.5,4.6,13.0,1765,3200.1
M005,2026-09-18 10:10,87.0,5.1,13.2,1750,3200.2
M005,2026-09-18 10:15,88.0,5.5,13.5,1738,3200.3
M005,2026-09-18 10:20,89.0,5.9,13.8,1725,3200.4
M005,2026-09-18 10:25,90.5,6.4,14.0,1710,3200.5
M005,2026-09-18 10:30,91.5,7.0,14.3,1695,3200.6
M005,2026-09-18 10:35,93.0,7.6,14.7,1680,3200.7
M005,2026-09-18 10:40,94.0,8.2,15.0,1665,3200.8
M005,2026-09-18 10:45,95.5,9.0,15.3,1645,3200.9
M006,2026-09-18 10:00,64.0,2.4,7.0,1490,1500.0
M006,2026-09-18 10:05,64.5,2.5,7.1,1488,1500.1
M006,2026-09-18 10:10,65.0,2.4,7.2,1485,1500.2
M006,2026-09-18 10:15,65.5,2.6,7.1,1482,1500.3
M006,2026-09-18 10:20,66.0,2.7,7.3,1480,1500.4
M006,2026-09-18 10:25,66.5,2.8,7.4,1478,1500.5
M006,2026-09-18 10:30,67.0,2.9,7.5,1475,1500.6
M006,2026-09-18 10:35,67.5,3.0,7.6,1472,1500.7
M006,2026-09-18 10:40,68.0,3.1,7.7,1470,1500.8
M006,2026-09-18 10:45,68.5,3.2,7.8,1468,1500.9
M007,2026-09-18 10:00,70.0,2.8,8.6,1700,2400.0
M007,2026-09-18 10:05,70.5,2.9,8.7,1688,2400.1
M007,2026-09-18 10:10,71.0,3.0,8.8,1675,2400.2
M007,2026-09-18 10:15,71.5,3.1,8.9,1660,2400.3
M007,2026-09-18 10:20,72.0,3.2,9.0,1645,2400.4
M007,2026-09-18 10:25,72.5,3.3,9.1,1625,2400.5
M007,2026-09-18 10:30,73.0,3.4,9.2,1605,2400.6
M007,2026-09-18 10:35,73.5,3.6,9.3,1585,2400.7
M007,2026-09-18 10:40,74.0,3.8,9.4,1560,2400.8
M007,2026-09-18 10:45,74.5,4.0,9.5,1535,2400.9
M008,2026-09-18 10:00,66.0,2.5,6.2,1585,1750.0
M008,2026-09-18 10:05,66.5,2.7,6.2,1582,1750.1
M008,2026-09-18 10:10,67.0,2.9,6.3,1580,1750.2
M008,2026-09-18 10:15,67.5,3.2,6.3,1578,1750.3
M008,2026-09-18 10:20,68.0,3.6,6.4,1575,1750.4
M008,2026-09-18 10:25,68.5,4.1,6.5,1572,1750.5
M008,2026-09-18 10:30,69.0,4.6,6.6,1568,1750.6
M008,2026-09-18 10:35,69.5,5.1,6.7,1565,1750.7
M008,2026-09-18 10:40,70.0,5.6,6.8,1560,1750.8
M008,2026-09-18 10:45,70.5,6.2,6.9,1555,1750.9
M009,2026-09-18 10:00,69.0,2.7,11.5,1790,2900.0
M009,2026-09-18 10:05,70.0,2.8,11.9,1788,2900.1
M009,2026-09-18 10:10,70.5,2.9,12.2,1785,2900.2
M009,2026-09-18 10:15,71.0,3.0,12.8,1780,2900.3
M009,2026-09-18 10:20,71.5,3.1,13.2,1775,2900.4
M009,2026-09-18 10:25,72.0,3.2,13.8,1770,2900.5
M009,2026-09-18 10:30,72.5,3.3,14.3,1765,2900.6
M009,2026-09-18 10:35,73.0,3.4,14.8,1760,2900.7
M009,2026-09-18 10:40,73.5,3.5,15.2,1750,2900.8
M009,2026-09-18 10:45,74.0,3.6,15.8,1745,2900.9
M010,2026-09-18 10:00,61.0,2.0,8.1,1490,1100.0
M010,2026-09-18 10:05,61.5,2.1,8.2,1488,1100.1
M010,2026-09-18 10:10,62.0,2.2,8.3,1486,1100.2
M010,2026-09-18 10:15,62.5,2.1,8.2,1485,1100.3
M010,2026-09-18 10:20,63.0,2.3,8.3,1482,1100.4
M010,2026-09-18 10:25,63.5,2.4,8.4,1480,1100.5
M010,2026-09-18 10:30,64.0,2.5,8.4,1478,1100.6
M010,2026-09-18 10:35,64.5,2.4,8.5,1476,1100.7
M010,2026-09-18 10:40,65.0,2.6,8.5,1474,1100.8
M010,2026-09-18 10:45,65.5,2.7,8.6,1472,1100.9
